ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
721;T001038;10000;1984W119;2215
722;T001038;10000;1984W120;2330
723;T001038;10000;1984W121;2163
724;T001038;10000;1984W122;2209
725;T001038;10000;1984W123;2096
726;T001038;10000;1984W124;2272
727;T001038;10000;1984W125;2239
728;T001038;10000;1984W126;2199
729;T001038;10000;1984W127;2150
730;T001038;10000;1984W128;2240
731;T001038;10000;1984W129;2095
732;T001038;10000;1984W130;2040
733;T001038;10000;1984W131;2142
734;T001038;10000;1984W132;2007
735;T001038;10000;1984W133;2127
736;T001038;10000;1984W134;2327
737;T001038;10000;1984W135;2087
738;T001038;10000;1984W136;2079
739;T001038;10000;1984W137;2072
740;T001038;10000;1984W138;2157
741;T001038;10000;1984W139;2243
742;T001038;10000;1984W140;2282
743;T001038;10000;1984W141;2236
744;T001038;10000;1984W142;2233
745;T001038;10000;1984W143;2232
746;T001038;10000;1984W144;2263
747;T001038;10000;1984W145;2248
748;T001038;10000;1984W146;2282
749;T001038;10000;1984W147;2411
750;T001038;10000;1984W148;2288
751;T001038;10000;1984W149;2343
752;T001038;10000;1984W150;2437
753;T001038;10000;1984W151;2423
754;T001038;10000;1984W152;2432
755;T001038;10000;1984W153;378
756;T001038;10000;1984JJ00;119812
757;T001038;10000;1985W101;2271
758;T001038;10000;1985W102;2700
759;T001038;10000;1985W103;2709
760;T001038;10000;1985W104;2676
761;T001038;10000;1985W105;2588
762;T001038;10000;1985W106;2440
763;T001038;10000;1985W107;2613
764;T001038;10000;1985W108;2640
765;T001038;10000;1985W109;2856
766;T001038;10000;1985W110;2789
767;T001038;10000;1985W111;2624
768;T001038;10000;1985W112;2594
769;T001038;10000;1985W113;2454
770;T001038;10000;1985W114;2437
771;T001038;10000;1985W115;2210
772;T001038;10000;1985W116;2257
773;T001038;10000;1985W117;2325
774;T001038;10000;1985W118;2226
775;T001038;10000;1985W119;2215
776;T001038;10000;1985W120;2244
777;T001038;10000;1985W121;2203
778;T001038;10000;1985W122;2202
779;T001038;10000;1985W123;2172
780;T001038;10000;1985W124;2174
781;T001038;10000;1985W125;2250
782;T001038;10000;1985W126;2143
783;T001038;10000;1985W127;2213
784;T001038;10000;1985W128;2207
785;T001038;10000;1985W129;2071
786;T001038;10000;1985W130;2151
787;T001038;10000;1985W131;2112
788;T001038;10000;1985W132;2123
789;T001038;10000;1985W133;2116
790;T001038;10000;1985W134;2054
791;T001038;10000;1985W135;2149
792;T001038;10000;1985W136;2090
793;T001038;10000;1985W137;2176
794;T001038;10000;1985W138;2143
795;T001038;10000;1985W139;2095
796;T001038;10000;1985W140;2228
797;T001038;10000;1985W141;2208
798;T001038;10000;1985W142;2223
799;T001038;10000;1985W143;2347
800;T001038;10000;1985W144;2412
801;T001038;10000;1985W145;2499
802;T001038;10000;1985W146;2445
803;T001038;10000;1985W147;2462
804;T001038;10000;1985W148;2628
805;T001038;10000;1985W149;2409
806;T001038;10000;1985W150;2430
807;T001038;10000;1985W151;2389
